Date	Open	High	Low	Close*	Adj. close**	Volume
22 Mar 2021	303.00	307.80	301.50	307.25	296.28	64,448,673
19 Mar 2021	304.55	309.80	300.65	306.70	295.75	129,349,678
18 Mar 2021	316.35	317.10	309.95	311.95	300.81	39,066,697
17 Mar 2021	309.95	315.60	309.15	313.80	302.60	69,755,338
16 Mar 2021	316.30	317.40	307.75	311.25	300.14	54,169,289
15 Mar 2021	323.40	324.95	314.30	316.15	304.86	36,594,480
12 Mar 2021	318.00	324.10	317.65	323.45	311.90	29,485,852
11 Mar 2021	319.15	321.35	313.05	319.65	308.24	39,594,966
10 Mar 2021	311.00	318.65	309.90	315.00	303.75	45,089,517
09 Mar 2021	319.45	323.85	311.15	315.25	303.99	48,901,741
08 Mar 2021	323.00	324.56	312.50	318.65	307.27	54,714,912
05 Mar 2021	313.10	326.45	311.69	318.80	307.42	79,113,852
04 Mar 2021	305.00	314.45	300.09	313.10	301.92	59,360,830
03 Mar 2021	299.75	304.90	296.30	304.90	294.01	52,751,425
02 Mar 2021	291.80	299.25	289.70	296.60	286.01	42,466,979
01 Mar 2021	298.10	299.95	294.00	297.55	286.93	42,542,178
26 Feb 2021	300.00	300.85	289.05	291.75	281.33	85,542,566
25 Feb 2021	300.10	308.80	300.10	304.55	293.68	81,321,149
24 Feb 2021	284.00	299.40	282.39	298.80	288.13	93,109,121
23 Feb 2021	287.25	291.45	276.85	283.50	273.38	113,795,489
22 Feb 2021	273.10	281.95	268.70	279.95	269.95	76,247,048
19 Feb 2021	265.40	273.55	263.90	272.35	262.63	84,957,417
18 Feb 2021	280.30	281.39	268.50	269.40	259.78	59,756,797
18 Feb 2021	3.7684 Dividend
17 Feb 2021	280.50	287.60	275.98	280.60	266.95	69,601,073
16 Feb 2021	281.00	284.55	275.30	278.20	264.66	94,624,303
15 Feb 2021	266.05	279.45	261.80	278.90	265.33	102,213,508
12 Feb 2021	256.85	262.05	254.75	261.80	249.06	36,714,525
11 Feb 2021	259.40	260.50	255.25	257.80	245.26	64,183,771
10 Feb 2021	262.55	263.45	254.00	259.10	246.49	71,473,243
09 Feb 2021	265.50	268.10	257.29	259.70	247.06	65,410,333
08 Feb 2021	253.30	263.90	252.10	261.95	249.21	77,358,530
05 Feb 2021	255.55	258.68	250.50	252.05	239.79	91,285,362
04 Feb 2021	259.15	261.80	253.65	254.95	242.55	69,690,819
03 Feb 2021	255.00	258.90	251.05	258.30	245.73	72,784,840
02 Feb 2021	260.55	263.90	250.35	255.00	242.59	127,749,256
01 Feb 2021	274.25	276.30	266.45	267.10	254.10	63,605,096
29 Jan 2021	272.85	278.40	271.50	271.50	258.29	37,482,798
28 Jan 2021	275.55	282.40	271.80	276.50	263.05	50,159,927
27 Jan 2021	279.20	282.70	273.95	282.35	268.61	56,403,948
26 Jan 2021	279.85	288.25	278.80	282.35	268.61	43,495,648
25 Jan 2021	291.00	291.30	278.30	280.65	267.00	66,487,011
22 Jan 2021	288.80	291.15	283.60	290.00	275.89	57,008,357
21 Jan 2021	302.55	303.15	292.55	293.35	279.08	42,797,551
20 Jan 2021	300.65	303.35	299.17	302.85	288.12	37,313,657
19 Jan 2021	302.15	304.30	299.30	301.25	286.59	29,146,696
18 Jan 2021	298.20	301.00	295.50	300.35	285.74	47,700,699
15 Jan 2021	309.90	311.15	296.60	302.45	287.73	44,676,583
14 Jan 2021	303.25	310.80	302.65	309.25	294.20	48,245,526
13 Jan 2021	307.95	311.95	302.50	303.90	289.11	51,923,962
12 Jan 2021	301.95	309.10	299.25	305.00	290.16	54,675,065
11 Jan 2021	297.20	299.65	292.50	298.80	284.26	37,867,052
08 Jan 2021	296.75	299.30	293.09	298.70	284.17	78,224,628
07 Jan 2021	293.25	297.35	249.75	295.00	280.65	128,597,618
06 Jan 2021	280.00	291.00	275.70	289.80	275.70	86,834,204
05 Jan 2021	255.70	272.50	255.55	272.50	259.24	51,679,499
04 Jan 2021	257.35	267.77	252.80	254.50	242.12	68,541,911
31 Dec 2020	256.05	258.01	253.05	254.80	242.40	19,037,935
30 Dec 2020	262.25	264.00	259.05	259.40	246.78	20,800,281
29 Dec 2020	263.15	508.70	260.95	262.35	249.59	35,554,834
24 Dec 2020	266.00	267.07	262.65	263.00	250.20	13,991,203
23 Dec 2020	258.20	266.20	256.55	265.75	252.82	40,242,580
22 Dec 2020	255.00	263.10	253.30	258.55	245.97	34,301,381
21 Dec 2020	261.85	273.35	250.90	258.05	245.49	74,037,177
18 Dec 2020	269.00	273.45	268.25	271.35	258.15	89,654,141
17 Dec 2020	273.65	275.50	267.80	269.35	256.25	46,308,612
16 Dec 2020	271.95	276.75	267.80	272.60	259.34	47,336,707
15 Dec 2020	268.55	275.50	266.02	270.75	257.58	87,112,918
14 Dec 2020	278.00	282.60	268.55	269.75	256.63	53,222,525
*Close price adjusted for splits.**Close price adjusted for splits and dividend and/or capital gain distributions.
